content
愛くるしい
あいくろしい
愛らしい
あえない
あおい
あおくさい
あおじろい
あかい
あかるい
あきたりない
あきっぽい
あさい
あさましい
あじきない
あじけない
あずましい
あたたかい
あたらしい
あつい
あつかましい
あつくるしい
あったかい
あとかたない
あどけない
あばばい
あぶない
あぶなっかしい
あまい
あまずっぱい
あやうい
あやしい
あらあらしい
あらい
あられもない
ありがたい
あわあわしい
あわい
あわただしい
いかい
いかがわしい
いきぐるしい
いぎたない
いさぎよい
いさましい
いじらしい
いずい
いそがしい
いたい
いたましい
いちじるしい
いとおしい
いとしい
いとわしい
いぶかしい
いまいましい
いまさららしい
いまめかしい
いまわしい
いやしい
いやらしい
いろっぽい
うさんくさい
うしろめたい
うすい
うすぐらい
うたがいぶかい
うたがわしい
うつくしい
鬱陶しい
うとい
うとうとしい
うとましい
うまい
うやうやしい
うらがなしい
うらさびしい
うらめしい
うらやましい
うるさい
うるわしい
うれしい
ええ
えぐい
えらい
おいしい
おおい
おおきい
おおしい
おかしい
おくゆかしい
おぐらい
おこがましい
おこりっぽい
おさない
おしい
おしつけがましい
おそい
おそがい
おそれおおい
おそろしい
おとこらしい
おとなしい
おびただしい
おもい
おもいがけない
おもくるしい
おもしろい
おもしろおかしい
おもたい
おもっしょい
おもろい
おんならしい
かいい
かいない
かがやかしい
かぎりない
かぐわしい
かしこい
かしましい
かたい
かたくるしい
かったるい
かなしい
かびくさい
かまびすしい
我慢強い
かゆい
かよわい
からい
かるい
